# BrowserLayout line-break baseline attribution — 2026-08-31
# Diagnostic artifact only; docs/browser-layout/line-break-baseline/redchamber.tsv was not modified.
# golden_lines/before_lines/after_lines are the existing fingerprint text-fragment count, not logical box-line count.
spine	classification	subtype	earliest_provenance	root_x_overlap	root_x_delta_pt	golden_pages	before_pages	after_pages	golden_lines	before_lines	after_lines
244	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	10	11	11	338	352	352
245	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
246	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	12	12	12	399	418	418
247	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
248	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	13	13	13	427	445	445
249	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
250	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	15	15	15	496	516	516
251	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
252	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	13	14	14	447	467	467
254	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
255	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	2	2	2	50	52	52
256	PREEXISTING_LINE_BREAK_DIFF	same-count-interior-digest	USED_VALUE_FINAL_WIDTH	no	-	1	1	1	24	24	24
257	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	no	-	1	1	1	3	3	3
258	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	5	5	5	265	276	276
259	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	10	10	10	471	485	485
260	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	9	10	10	445	461	461
261	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	9	9	9	414	427	427
262	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	no	-	1	1	1	3	3	3
263	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	3	3	3	180	189	189
264	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	22	22	22	869	881	881
265	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	9	9	9	436	447	447
266	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	no	-	1	1	1	3	3	3
267	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	no	-	1	1	1	11	11	11
268	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	no	-	5	6	6	220	230	230
269	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	8	8	8	301	309	309
270	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	no	-	12	12	12	502	517	517
271	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	22	22	22	968	983	983
273	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
274	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
275	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
276	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
277	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
278	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	16	16	16	27	27	27
279	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	5	5	5	18	18	18
280	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	11	12	12	698	748	748
281	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	24	25	25	1179	1230	1230
282	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	no	-	25	26	26	1207	1257	1257
283	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	no	-	20	21	21	1054	1104	1104
284	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	20	21	21	1104	1155	1155
285	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	37	38	38	1748	1805	1805
286	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	no	-	28	28	28	1196	1254	1254
287	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	13	14	14	762	811	811
289	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
290	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
291	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	11	11	11	22	22	22
292	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	10	12	12	644	697	697
293	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	15	16	16	844	896	896
294	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	no	-	28	29	29	1440	1497	1497
295	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	40	42	42	1831	1896	1896
296	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	23	24	24	1088	1140	1140
297	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	23	25	25	1098	1157	1157
298	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	44	45	45	1955	2016	2016
299	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	25	27	27	1164	1220	1220
300	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	12	13	13	696	750	750
302	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
303	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
304	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	1	1	1	12	12	12
307	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	no	-	29	29	29	928	939	939
308	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	5	5	5	159	164	164
309	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	no	-	14	13	13	383	388	388
310	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	24	24	24	868	882	882
311	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	no	-	17	18	18	575	588	588
313	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
314	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
315	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
316	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	7	7	7	18	18	18
317	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	8	9	9	541	589	589
318	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	15	16	16	834	885	885
319	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	18	19	19	916	965	965
320	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	19	20	20	1014	1068	1068
321	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	35	36	36	1677	1733	1733
322	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	16	17	17	866	911	911
323	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	13	14	14	721	767	767
324	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	11	12	12	634	682	682
326	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
327	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	3	3	3	14	14	14
328	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	3	3	3	123	126	126
329	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	7	7	7	300	304	304
330	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	11	11	11	435	440	440
331	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	10	10	10	366	373	373
332	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	6	6	6	242	244	244
333	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	8	8	8	296	301	301
334	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	4	4	4	163	166	166
336	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
337	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	5	5	5	16	16	16
338	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	4	4	4	183	203	203
339	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	7	7	7	298	320	320
340	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	15	15	15	610	635	635
341	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	12	13	13	509	536	536
342	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	7	7	7	291	313	313
344	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
345	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
346	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	1	1	1	12	12	12
347	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	4	5	5	191	202	202
348	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	8	8	8	311	320	320
349	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	11	11	11	421	437	437
350	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	16	16	16	602	616	616
351	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	7	7	7	284	295	295
352	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	5	5	5	211	220	220
354	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
355	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	8	8	8	19	19	19
356	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	6	6	6	255	267	267
357	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	14	14	14	573	591	591
358	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	15	16	16	621	635	635
359	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	7	8	8	304	316	316
360	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	14	14	14	602	615	615
361	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	18	19	19	705	720	720
362	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	11	12	12	452	463	463
363	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	13	14	14	562	574	574
364	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	5	6	6	255	267	267
366	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
367	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	1	1	1	10	10	10
369	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	9	10	10	404	425	425
370	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	15	15	15	591	613	613
371	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	16	17	17	647	670	670
372	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	13	14	14	595	622	622
373	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	14	14	14	560	582	582
374	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	8	8	8	390	415	415
376	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
377	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
378	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	2	2	2	11	11	11
379	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	no	-	1	1	1	31	31	31
380	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	9	10	10	439	453	453
381	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	10	10	10	459	473	473
382	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	19	20	20	851	866	866
383	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	14	14	14	579	592	592
384	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	10	10	10	439	452	452
385	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	5	5	5	260	272	272
387	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
388	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	1	1	1	12	12	12
389	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	8	8	8	438	456	456
390	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	20	20	20	877	898	898
391	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	18	19	19	840	852	852
392	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	21	21	21	925	945	945
393	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	no	-	14	15	15	666	686	686
394	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	10	11	11	527	541	541
395	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	no	-	1	1	1	3	3	3
396	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
397	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	3	3	3	129	137	137
398	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	6	6	6	239	247	247
399	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	10	10	10	390	400	400
400	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	5	5	5	194	202	202
402	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
403	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	no	-	1	1	1	3	3	3
404	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	13	13	13	499	508	508
406	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	1	1	1	12	12	12
407	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	no	-	9	9	9	342	350	350
408	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	16	17	17	618	627	627
409	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	36	37	37	1402	1425	1425
410	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	26	27	27	1030	1046	1046
411	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	27	27	27	991	1006	1006
412	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	8	8	8	326	333	333
413	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	6	6	6	179	181	181
415	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
416	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	1	1	1	10	10	10
418	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	2	2	2	45	47	47
419	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	9	9	9	306	310	310
420	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	8	8	8	301	305	305
